SMILES,Probability_Nuclear Response_NR-AR,Probability_Nuclear Response_NR-AR-LBD,Probability_Nuclear Response_NR-AhR,Probability_Nuclear Response_NR-Aromatase,Probability_Nuclear Response_NR-ER,Probability_Nuclear Response_NR-ER-LBD,Probability_Nuclear Response_NR-PPAR-gamma,Probability_Nuclear Response_NR-GR,Probability_Nuclear Response_NR-TR,Probability_Stress Response_SR-ARE,Probability_Stress Response_SR-ATAD5,Probability_Stress Response_SR-HSE,Probability_Stress Response_SR-MMP,Probability_Stress Response_SR-p53,Probability_Genomic_AMES_Mutagenesis,Probability_Genomic_Carcinogenesis,Probability_Genomic_Micronucleus,PredictionsDose Response_Maximum_Tolerated_Dose,Probability_Organic_Skin_Sensitisation,Probability_Organic_hERG_I_Inhibitor,Probability_Organic_hERG_II_Inhibitor,Probability_Organic_Liver_Injury_I,Probability_Organic_Liver_Injury_II,Probability_Organic_Eye_Irritation,Probability_Organic_Eye_Corrosion,Probability_Organic_Respiratory_Disease
C[C@@H]1[C@@H]([C@H](C(=O)C([C@H](CC(=O)OC(C/C=C\CCC1=O)/C(=C/C2=CSC(=N2)C)/C)O)C)C)O,0.01,0.01,0.0,0.13,0.1,0.01,0.01,0.44,0.17,0.21,0.03,0.07,0.21,0.19,0.39,0.0,0.5,-0.06,0.4,0.18,0.25,0.23,0.06,0.01,0.01,0.85
C[C@H]1C/C=C\C(=C/CC(OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)C)O)/C(=C/C2=CSC(=N2)C)/C)\C,0.0,0.0,0.0,0.24,0.09,0.01,0.01,0.34,0.15,0.29,0.03,0.09,0.29,0.12,0.32,0.05,0.5,-0.3,0.45,0.2,0.29,0.23,0.11,0.01,0.01,0.83
CCCCC(=O)NCCCCN(CCCCNC(=O)CCCC)C(=O)CCCC/C=C/CCCCCCCC(C)C,0.01,0.01,0.0,0.01,0.07,0.0,0.01,0.15,0.07,0.15,0.0,0.12,0.34,0.02,0.22,0.0,0.48,0.82,0.55,0.18,0.24,0.26,0.63,0.11,0.11,0.35
C[C@H]1CC/C=C(\C(=O)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)/C,0.01,0.03,0.0,0.26,0.13,0.03,0.01,0.37,0.17,0.24,0.04,0.08,0.28,0.16,0.37,0.0,0.5,-0.42,0.41,0.16,0.26,0.2,0.1,0.0,0.0,0.9
CN[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CCCN)CC(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)(C)O,0.08,0.01,0.0,0.06,0.24,0.05,0.01,0.09,0.06,0.2,0.01,0.07,0.09,0.22,0.17,0.04,0.51,0.51,0.49,0.2,0.34,0.69,0.52,0.03,0.0,0.7
C[C@@H]1[C@@H]([C@H](C(=O)C([C@H](CC(=O)OC(C/C=C(\CCC1=O)/C)/C(=C/C2=CSC(=N2)C)/C)O)C)C)O,0.02,0.02,0.0,0.12,0.11,0.01,0.01,0.41,0.17,0.2,0.05,0.07,0.19,0.21,0.35,0.0,0.5,-0.15,0.42,0.2,0.29,0.23,0.06,0.01,0.0,0.85
CC(/C=C/C=C/C=C/C=C/C=C(\C)C(=O)NC(C(=O)O)C(O)C(N)=O)=C\C1N=C(/C=C/C2=CC=C[NH]2)OC1C,0.06,0.01,0.0,0.05,0.11,0.0,0.03,0.17,0.23,0.45,0.05,0.29,0.14,0.04,0.25,0.12,0.51,0.44,0.56,0.09,0.22,0.46,0.22,0.05,0.0,0.78
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.05,0.02,0.0,0.05,0.11,0.0,0.02,0.2,0.19,0.46,0.02,0.24,0.13,0.04,0.25,0.12,0.51,0.44,0.54,0.09,0.2,0.46,0.26,0.05,0.0,0.8
CCCCCCCCCC(=O)C(C)CC,0.0,0.0,0.01,0.0,0.07,0.01,0.01,0.05,0.0,0.04,0.0,0.0,0.3,0.01,0.01,0.1,0.46,0.44,0.95,0.12,0.16,0.1,0.52,0.93,0.87,0.12
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.05,0.01,0.0,0.07,0.12,0.0,0.02,0.23,0.25,0.45,0.02,0.28,0.32,0.05,0.24,0.12,0.51,0.37,0.51,0.09,0.21,0.46,0.27,0.05,0.0,0.76
C[C@@H]1[C@@H]([C@H](C(=O)C([C@H](CC(=O)O[C@@H](C/C=C(\CCC1=O)/C)/C(=C/C2=CSC(=N2)C)/C)O)(C)C)C)O,0.01,0.02,0.0,0.21,0.14,0.02,0.01,0.41,0.17,0.21,0.07,0.06,0.36,0.21,0.38,0.0,0.5,-0.33,0.4,0.21,0.31,0.06,0.09,0.0,0.0,0.89
CCC(=O)CC/C(=C\CC(/C(=C/C1=CSC(=N1)C)/C)O)/C,0.01,0.0,0.02,0.05,0.09,0.02,0.01,0.11,0.08,0.23,0.02,0.08,0.42,0.05,0.23,0.07,0.5,0.09,0.68,0.17,0.22,0.08,0.16,0.06,0.01,0.65
CC(C)CCCCCCCCC/C=C/CCCCC(=O)N(CCCCNC(=O)C)CCCCNC(=O)C,0.0,0.0,0.0,0.02,0.06,0.0,0.01,0.12,0.07,0.1,0.0,0.14,0.33,0.02,0.33,0.0,0.48,0.66,0.55,0.19,0.24,0.29,0.66,0.12,0.05,0.48
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C(\C)/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.04,0.01,0.0,0.06,0.11,0.01,0.02,0.22,0.22,0.45,0.03,0.3,0.24,0.04,0.26,0.12,0.51,0.24,0.52,0.1,0.23,0.45,0.28,0.03,0.0,0.75
C/C=C(\C)/[C@@H]([C@H](C)/C=C(\C)/C=C/C=C\C=C\C=C(/C)\C(=O)N[C@@H](C)CO)O,0.01,0.02,0.0,0.1,0.06,0.02,0.01,0.26,0.3,0.56,0.01,0.27,0.16,0.04,0.43,0.1,0.5,0.42,0.76,0.13,0.21,0.16,0.7,0.12,0.0,0.47
CCCCC(=O)NCCCCN(CCCCNC(=O)C(C)C)C(=O)CCCC/C=C/CCCCCCCC(C)C,0.01,0.01,0.0,0.01,0.07,0.0,0.01,0.15,0.07,0.16,0.0,0.12,0.34,0.01,0.23,0.0,0.48,0.56,0.55,0.14,0.22,0.25,0.67,0.12,0.06,0.43
C[C@H]1CC2/C=C(/[C@H](C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O2)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)O)\C,0.02,0.07,0.0,0.11,0.14,0.1,0.01,0.38,0.18,0.14,0.04,0.08,0.31,0.17,0.28,0.05,0.5,-0.27,0.41,0.23,0.32,0.06,0.15,0.0,0.0,0.92
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C(\C)/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(C(C(=O)N)O)C(=O)O,0.05,0.01,0.0,0.06,0.12,0.0,0.02,0.22,0.25,0.46,0.02,0.29,0.28,0.05,0.25,0.12,0.51,0.42,0.52,0.09,0.2,0.46,0.26,0.05,0.0,0.77
CCCC1C(=O)NCC(CC(C(CC/C(=C/C=C/C(CCCC(=O)CCCCC(/C=C(/C(=O)O1)\C)C)CC)/COC)O)O)O,0.01,0.04,0.01,0.13,0.13,0.0,0.01,0.34,0.06,0.25,0.01,0.09,0.48,0.1,0.37,0.12,0.5,0.35,0.37,0.09,0.22,0.17,0.26,0.0,0.0,0.79
CC(C)CCCCCCCCCCCCOCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCC(C)C,0.08,0.01,0.01,0.02,0.08,0.02,0.01,0.08,0.01,0.14,0.0,0.01,0.14,0.06,0.26,0.21,0.47,0.07,0.47,0.15,0.36,0.21,0.7,0.34,0.08,0.64
CC(C)CCCCCCCCCCCCOCC(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,0.0,0.0,0.0,0.01,0.1,0.12,0.01,0.05,0.01,0.07,0.01,0.04,0.25,0.03,0.18,0.12,0.47,0.12,0.51,0.2,0.4,0.42,0.73,0.85,0.27,0.25
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.03,0.02,0.0,0.15,0.12,0.0,0.01,0.22,0.23,0.47,0.01,0.32,0.3,0.08,0.21,0.12,0.51,0.63,0.57,0.07,0.18,0.52,0.26,0.02,0.0,0.7
C[C@@H]1[C@H](N=C(O1)/C=C/C2=CC=CN2)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C(\C)/C(=O)NC(CC(=O)N)C(=O)O,0.03,0.01,0.0,0.18,0.13,0.0,0.01,0.23,0.23,0.47,0.01,0.31,0.43,0.08,0.2,0.12,0.51,0.63,0.55,0.07,0.18,0.52,0.26,0.02,0.0,0.66
C[C@@H](CO)NC(=O)/C(=C/C=C/C=C\C=C\C(=C\[C@@H](C)[C@H](/C(=C/C(C)C)/C)O)\C)/C,0.01,0.04,0.01,0.09,0.06,0.02,0.01,0.29,0.3,0.59,0.01,0.29,0.22,0.03,0.37,0.1,0.5,0.33,0.73,0.1,0.22,0.15,0.69,0.05,0.0,0.46
CC[C@H](C)/C=C(\C)/[C@@H]([C@H](C)/C=C(\C)/C=C/C=C\C=C\C=C(/C)\C(=O)N[C@@H](C)CO)O,0.01,0.03,0.06,0.11,0.06,0.01,0.01,0.34,0.3,0.56,0.0,0.28,0.15,0.06,0.35,0.1,0.5,0.18,0.73,0.09,0.23,0.13,0.69,0.01,0.04,0.49
CC/C=C(\C)/[C@@H]([C@H](C)/C=C(\C)/C=C/C=C\C=C\C=C(/C)\C(=O)N[C@@H](C)CO)O,0.02,0.05,0.01,0.1,0.06,0.01,0.01,0.37,0.3,0.56,0.0,0.26,0.13,0.05,0.39,0.1,0.5,0.44,0.76,0.12,0.23,0.16,0.69,0.04,0.02,0.45
C[C@H]1CCC[C@@]2(C)CCC=C[C@H]12,0.0,0.0,0.01,0.11,0.02,0.05,0.01,0.16,0.0,0.11,0.01,0.05,0.03,0.0,0.1,0.15,0.5,-0.2,0.63,0.13,0.17,0.59,0.23,0.95,0.54,0.33
CC[C@H](C)[C@@H]1NC(=O)[C@@H](N)CC2=CC(=C(O)C=C2)C2=C(O)C3=CC(=C2)C[C@H](NC1=O)C(=O)N[C@H](C(=O)O)CC1=CC=C(C=C1)O3,0.05,0.01,0.04,0.06,0.14,0.11,0.03,0.24,0.15,0.35,0.01,0.05,0.35,0.17,0.37,0.0,0.51,0.16,0.35,0.24,0.2,0.75,0.21,0.04,0.0,0.76
CC[C@H](C)[C@@H]1NC(=O)[C@@H](N)CC2=CC(=C(OC)C=C2)C2=C(O)C3=CC(=C2)C[C@H](NC1=O)C(=O)N[C@H](C(=O)O)CC1=CC=C(C=C1)O3,0.12,0.01,0.02,0.05,0.15,0.04,0.03,0.22,0.18,0.39,0.04,0.11,0.19,0.12,0.45,0.0,0.51,0.35,0.24,0.22,0.25,0.74,0.2,0.03,0.0,0.7
CC1=C(O)C=C(C(C)C(=O)CCCCCCCCCCCCC(C)C)OC1=O,0.04,0.05,0.08,0.05,0.12,0.01,0.01,0.17,0.01,0.23,0.0,0.03,0.87,0.03,0.3,0.1,0.47,-0.15,0.67,0.06,0.41,0.47,0.38,0.11,0.03,0.55
CC1=C(O)C=C(C(C)C(=O)CCCCCCCCCCCCCC(C)C)OC1=O,0.04,0.05,0.09,0.05,0.12,0.01,0.01,0.18,0.01,0.23,0.0,0.03,0.87,0.03,0.28,0.1,0.47,-0.15,0.64,0.06,0.4,0.72,0.39,0.11,0.03,0.54
COC1=C(C)C(=O)C2=C(C1=O)[C@H](CNC(=O)[C@H](C)N)N1[C@@H](C2)[C@@H]2C3=C(C(O)=C(C)C(OC)=C3O)[C@H](OC)[C@H]([C@@H]1O)N2C,0.02,0.02,0.18,0.1,0.12,0.03,0.01,0.38,0.22,0.26,0.01,0.12,0.24,0.08,0.33,0.19,0.5,0.0,0.17,0.09,0.37,0.41,0.27,0.0,0.0,0.85
